wavelength (nm),intensity ((uW/cm^2)/nm)
501.305,0.007759601
501.585,0.008194952
501.864,0.008046645
502.144,0.003691269
502.423,0.004328711
502.703,0.007686381
502.983,0.006130519
503.262,0.007880522
503.542,0.005906733
503.821,0.006596751
504.100,0.006212807
504.380,0.006169256
504.659,0.006463209
504.939,0.007800191
505.218,0.006498796
505.497,0.006747404
505.777,0.008986978
506.056,0.007236512
506.335,0.006567671
506.614,0.010163077
506.894,0.009921749
507.173,0.011435739
507.452,0.010239867
507.731,0.010011972
508.010,0.009743584
508.289,0.00880148
508.568,0.006394558
508.847,0.006631259
509.126,0.005406965
509.405,0.004761137
509.684,0.005599395
509.963,0.004122375
510.242,0.003462034
510.521,0.003093555
510.800,0.002811593
511.079,0.001369563
511.358,-5.49487E-05
511.637,0.000284466
511.915,-0.00058857
512.194,0.002387752
512.473,0.003078188
512.752,0.003254378
513.030,0.004954972
513.309,0.006202697
513.588,0.007336817
513.866,0.006452444
514.145,0.006282146
514.423,0.007373001
514.702,0.007231338
514.980,0.01013523
515.259,0.00889179
515.537,0.009649905
515.816,0.008422703
516.094,0.011598699
516.373,0.011857231
516.651,0.012566922
516.929,0.011383267
517.208,0.009900335
517.486,0.011460723
517.764,0.012233442
518.043,0.012358202
518.321,0.016220545
518.599,0.014091511
518.877,0.016755123
519.155,0.017774872
519.434,0.018644528
519.712,0.01475846
519.990,0.014595575
520.268,0.013644088
520.546,0.014359267
520.824,0.017004408
521.102,0.01454556
521.380,0.013561415
521.658,0.012684615
521.936,0.012025648
522.214,0.011020258
522.492,0.010141973
522.770,0.010684622
523.047,0.009266233
523.325,0.010089576
523.603,0.010913784
523.881,0.012460542
524.159,0.01047633
524.436,0.011124191
524.714,0.012607829
524.992,0.01303121
525.269,0.011575182
525.547,0.00990007
525.824,0.01107474
526.102,0.010858221
526.380,0.00955704
526.657,0.012612168
526.935,0.01185485
527.212,0.009800847
527.490,0.008997284
527.767,0.00961003
528.044,0.007352971
528.322,0.006226646
528.599,0.006690026
528.876,0.008478877
529.154,0.009740618
529.431,0.009820877
529.708,0.008719818
529.986,0.00919968
530.263,0.004442868
530.540,0.005973486
530.817,0.00558742
531.094,0.006329736
531.371,0.007355794
531.648,0.010642406
531.926,0.010622306
532.203,0.012840135
532.480,0.010668858
532.757,0.011378806
533.034,0.009991915
533.311,0.012229689
533.588,0.010708819
533.864,0.013802205
534.141,0.013403052
534.418,0.015715299
534.695,0.015052742
534.972,0.015499353
535.249,0.013374051
535.525,0.014774661
535.802,0.012865188
536.079,0.015506986
536.355,0.013693302
536.632,0.015418131
536.909,0.01240852
537.185,0.01417401
537.462,0.01286276
537.739,0.010531186
538.015,0.011130245
538.292,0.010334116
538.568,0.008642614
538.845,0.010729129
539.121,0.009053205
539.397,0.007815249
539.674,0.005592384
539.950,0.006821193
540.227,0.004513082
540.503,0.004852974
540.779,0.003611752
541.055,0.004468151
