wavelength (nm),intensity ((uW/cm^2)/nm)
596.355,0.021893531
596.626,0.022435854
596.897,0.022942306
597.168,0.01925809
597.439,0.019126748
597.710,0.016602768
597.981,0.016775057
598.252,0.013129692
598.523,0.012715548
598.794,0.014089113
599.065,0.013446929
599.336,0.012068577
599.607,0.013401037
599.878,0.012486279
600.149,0.012567922
600.420,0.012171572
600.691,0.014771707
600.961,0.014989265
601.232,0.017096693
601.503,0.017350612
601.773,0.019052914
602.044,0.018683962
602.315,0.018772799
602.585,0.01849208
602.856,0.020645295
603.127,0.018642694
603.397,0.018056015
603.668,0.016450183
603.938,0.01909996
604.209,0.019382067
604.479,0.0187955
604.750,0.017493623
605.020,0.015724179
605.290,0.015916416
605.561,0.01904561
605.831,0.018707242
606.101,0.018339788
606.371,0.014572853
606.642,0.013869421
606.912,0.013167347
607.182,0.013912673
607.452,0.012828848
607.722,0.010711818
607.992,0.008473586
608.262,0.009716357
608.533,0.011317409
608.803,0.012950993
609.073,0.010810635
609.343,0.009206936
609.612,0.007780183
609.882,0.010089372
610.152,0.009671279
610.422,0.010743543
610.692,0.007867985
610.962,0.006276805
611.232,0.006093627
611.501,0.006945276
611.771,0.006022431
612.041,0.004267929
612.310,0.002716341
612.580,0.001460237
612.850,0.001637683
613.119,0.001466732
613.389,-0.000372981
613.658,0.001774741
613.928,-0.001736658
614.197,0.001974692
614.467,0.00040335
614.736,0.002547434
615.006,0.002318404
615.275,0.001772239
615.545,0.00016118
615.814,-0.000670245
616.083,0.002183813
616.352,0.003364493
616.622,0.003389852
616.891,0.005202047
617.160,0.001939443
617.429,0.002065608
617.699,-0.001429788
617.968,0.001505765
618.237,-8.95736E-05
618.506,6.5163E-05
618.775,0.001940163
619.044,0.006087676
619.313,0.007129484
619.582,0.005976676
619.851,0.00488131
620.120,0.006219235
620.389,0.007247982
620.657,0.008735853
620.926,0.010806468
621.195,0.011934035
621.464,0.01252805
621.733,0.014911985
622.001,0.016182841
622.270,0.01705964
622.539,0.015780279
622.807,0.01601146
623.076,0.014699518
623.345,0.013031701
623.613,0.012239478
623.882,0.011180985
624.150,0.012364057
624.419,0.012716212
624.687,0.014184259
624.956,0.014573605
625.224,0.012540918
625.492,0.01305061
625.761,0.010501113
626.029,0.008634563
626.298,0.0074601
626.566,0.008606209
626.834,0.01025654
627.102,0.011608859
627.370,0.01069005
627.639,0.009128604
627.907,0.009280969
628.175,0.011121795
628.443,0.009721623
628.711,0.01033391
628.979,0.009944824
629.247,0.011878029
629.515,0.009782413
629.783,0.01102828
630.051,0.011420709
630.319,0.010246735
630.587,0.008833706
630.855,0.011393355
631.122,0.013721845
631.390,0.01412087
631.658,0.01133703
631.926,0.011560146
632.194,0.007743323
632.461,0.009050857
632.729,0.0077683
632.997,0.011140781
633.264,0.009551828
633.532,0.007788741
633.799,0.009066979
634.067,0.011661624
634.334,0.009721902
634.602,0.008802325
634.869,0.006798868
635.137,0.007051334
635.404,0.005432765
635.671,0.008813754
635.939,0.007080038
636.206,0.007889149
636.473,0.010054746
636.741,0.01137847
637.008,0.013434123
637.275,0.014896072
637.542,0.012227799
637.809,0.012496034
638.077,0.012957879
638.344,0.015912522
638.611,0.017807805
638.878,0.021372148
639.145,0.019443076
639.412,0.019973195
639.679,0.01952837
639.946,0.018817136
640.213,0.015110119
640.479,0.012032066
640.746,0.009485808
641.013,0.011278758
641.280,0.013421896
641.547,0.012130251
641.814,0.012747759
642.080,0.013067878
642.347,0.009952009
642.614,0.012045376
642.880,0.010329669
643.147,0.007088431
643.413,0.006650278
643.680,0.01233493
643.947,0.013987408
644.213,0.016774121
644.480,0.014400232
644.746,0.013453732
645.012,0.013179367
645.279,0.009987081
645.545,0.007984862
645.812,0.006330219
646.078,0.004912214
646.344,0.008450248
646.610,0.010528836
646.877,0.011160844
647.143,0.005695068
647.409,0.007169966
647.675,0.003314303
647.941,0.002189642
648.207,-0.000794397
648.473,0.000893127
648.740,0.002574214
649.006,0.001973223
649.272,0.005212786
649.537,0.006049552
649.803,0.004391622
650.069,0.005445163
650.335,0.003870654
650.601,0.006207105
650.867,0.004483656
651.133,0.00585798
651.398,0.008314047
651.664,0.012199463
651.930,0.011207075
652.196,0.010146087
652.461,0.008168592
652.727,0.00870839
652.992,0.007598807
653.258,0.009261922
653.524,0.007826731
653.789,0.006772269
654.055,0.007218687
654.320,0.008420122
654.586,0.010560337
654.851,0.011219101
655.116,0.008556732
655.382,0.007906999
655.647,0.008626845
655.912,0.011622938
656.178,0.009275152
656.443,0.011669452
656.708,0.009135165
656.973,0.010040446
657.239,0.010547241
657.504,0.010518964
657.769,0.007798512
658.034,0.008393207
658.299,0.007993644
658.564,0.010210164
658.829,0.010739718
659.094,0.013451929
659.359,0.011400086
659.624,0.009758798
659.889,0.007543993
660.154,0.007755601
660.418,0.008150861
660.683,0.008616118
660.948,0.008580031
661.213,0.011284258
661.477,0.006907155
661.742,0.0070499
662.007,0.003358586
662.271,0.004088157
662.536,0.00011027
662.801,-0.000267579
663.065,0.002125676
663.330,0.003383949
663.594,0.002242319
663.859,0.0011052
664.123,-0.001515157
664.388,-0.001012301
664.652,-0.003334115
664.916,-0.003714915
665.181,-0.003705887
665.445,0.000567892
665.709,-0.002896533
665.974,-0.000838674
666.238,0.001191299
666.502,0.000665328
666.766,0.000971378
667.030,0.005338602
667.294,0.004154719
667.559,0.008294917
667.823,0.006429585
668.087,0.006662958
668.351,0.009005793
668.615,0.006686949
668.879,0.003698569
669.143,0.006113017
